country,technology,carrier,year,value,unit
XY,BIOT,Bio,2050,103.55,Million usd
YZ,BIOT,Bio,2050,2.22,Million usd
XY,CCGT,Gas,2050,145.42,Million usd
YZ,CCGT,Gas,2050,147.9,Million usd
XY,CSP,Solar,2050,8.51,Million usd
XY,EDLH,Electricity,2050,64.78,Million usd
YZ,EDLH,Electricity,2050,64.78,Million usd
YZ,EERH,Electricity,2050,88.8,Million usd
XY,EHPP,Electricity,2050,42.32,Million usd
YZ,EHPP,Electricity,2050,122.07,Million usd
XY,EIDT,Electricity,2050,166.69,Million usd
YZ,EIDT,Electricity,2050,145.97,Million usd
XY,ELTZ,Hyd,2050,326.16,Million usd
XY,HDAM,Water,2050,100.0,Million usd
YZ,HROR,Water,2050,340.0,Million usd
XY,HYD,Hyd,2050,7.21,Million usd
XY,IND_BOILER,Bio,2050,407.5,Million usd
YZ,IND_BOILER,Bio,2050,407.5,Million usd
XY,IND_BOILER,Gas,2050,495.0,Million usd
YZ,IND_BOILER,Gas,2050,462.0,Million usd
XY,IND_BOILER,Hrdc,2050,229.0,Million usd
YZ,IND_BOILER,Hrdc,2050,270.5,Million usd
XY,IND_BOILER,Hyd,2050,184.04,Million usd
XY,IND_BOILER,Oil,2050,2.5,Million usd
YZ,IND_BOILER,Oil,2050,315.0,Million usd
XY,NUCL,Uranium,2050,203.45,Million usd
YZ,OCGT,Gas,2050,69.92,Million usd
XY,OCHT,Hyd,2050,102.43,Million usd
XY,OILT,Oil,2050,2.52,Million usd
YZ,OILT,Oil,2050,4.0,Million usd
XY,PHOT,Solar,2050,544.72,Million usd
YZ,PHOT,Solar,2050,523.66,Million usd
XY,RTPV,Solar,2050,5.08,Million usd
YZ,RTPV,Solar,2050,5.07,Million usd
XY,SWHT,Solar,2050,58.91,Million usd
XY,SubC,Hrdc,2050,129.2,Million usd
YZ,SubC,Hrdc,2050,249.6,Million usd
XY,SubC,Lig,2050,91.2,Million usd
YZ,SubC,Lig,2050,97.5,Million usd
YZ,SupC,Hrdc,2050,252.0,Million usd
XY,WSTT,Waste,2050,2.25,Million usd
XY,WTON,Wind,2050,367.25,Million usd
YZ,WTON,Wind,2050,344.29,Million usd
